index	model	objective_value	target
10	iAT_PLT_636.xml.gz	0.0	
11	iB21_1397.xml.gz	0.975614511585121	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
12	iBWG_1329.xml.gz	0.982478438665996	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
13	iCHOv1.xml.gz	0.032368971602008176	+1.0 BIOMASS_cho
14	iE2348C_1286.xml.gz	0.9824784386660045	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
15	iEC042_1314.xml.gz	0.9824784386660076	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
16	iEC55989_1330.xml.gz	0.9824784386660053	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
17	iECABU_c1320.xml.gz	0.9824784386660061	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
18	iECBD_1354.xml.gz	0.9756145115851279	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
19	iECB_1328.xml.gz	0.9824784386660053	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
20	iECDH10B_1368.xml.gz	1.0374775435499894	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
21	iECDH1ME8569_1439.xml.gz	0.9824784386660063	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
22	iECD_1391.xml.gz	0.9756145115851302	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
23	iECED1_1282.xml.gz	0.9824634433768081	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
24	iECH74115_1262.xml.gz	0.9824784386660056	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
25	iECIAI1_1343.xml.gz	20.522225629794132	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
26	iECIAI39_1322.xml.gz	0.9828409640719067	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
27	iECNA114_1301.xml.gz	0.9824784386660054	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
28	iECO103_1326.xml.gz	0.9824784386660009	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
29	iECO111_1330.xml.gz	0.9824784386660097	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
30	iECO26_1355.xml.gz	0.9824784386660047	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
31	iECOK1_1307.xml.gz	0.982478438666005	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
32	iECP_1309.xml.gz	0.9824784386660097	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
33	iECS88_1305.xml.gz	0.9824784386660044	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
34	iECSE_1348.xml.gz	0.9824784386660065	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
35	iECSF_1327.xml.gz	0.9824784386660061	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
36	iECSP_1301.xml.gz	0.9824784386660057	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
37	iECUMN_1333.xml.gz	0.9826920127837688	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
38	iECW_1372.xml.gz	0.9824784386660034	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
39	iECs_1301.xml.gz	0.9824784386659988	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
40	iEKO11_1354.xml.gz	0.9824784386660069	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
41	iETEC_1333.xml.gz	0.9824784386659978	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
42	iEcDH1_1363.xml.gz	0.9824784386660064	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
43	iEcE24377_1341.xml.gz	0.9824784386660033	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
44	iEcHS_1320.xml.gz	0.9824784386660191	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
45	iEcSMS35_1347.xml.gz	0.9824784386660047	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
46	iEcolC_1368.xml.gz	0.98247843866601	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
47	iG2583_1286.xml.gz	0.9824784386660064	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
48	iHN637.xml.gz	0.22445454211988541	+1.0 BIOMASS_Cl_DSM_WT_46p666M1
49	iIT341.xml.gz	0.6928126931408465	+1.0 BIOMASS_HP_published
50	iJB785.xml.gz	0.053901867745781366	+1.0 BIOMASS__1
51	iJN678.xml.gz	0.06314983713171098	+1.0 BIOMASS_Ec_SynHetero
52	iJN746.xml.gz	1.4	+1.0 BIOMASS_KT_TEMP
53	iJO1366.xml.gz	0.9823718127269806	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
54	iJR904.xml.gz	0.9219480950504655	+1.0 BIOMASS_Ecoli
55	iLB1027_lipid.xml.gz	0.35960670777573084	+1.0 DM_BIOMASS_c
56	iLF82_1304.xml.gz	0.9824784386660073	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
57	iLJ478.xml.gz	0.22840679202946662	+1.0 BIOMASS_Ecoli_TM
58	iML1515.xml.gz	0.8769972144269699	+1.0 BIOMASS_Ec_iML1515_core_75p37M
59	iMM1415.xml.gz	1.3634279056507832	+1.0 BIOMASS_mm_1_no_glygln
60	iMM904.xml.gz	0.28786570370401704	+1.0 BIOMASS_SC5_notrace
61	iND750.xml.gz	0.09732337590378276	+1.0 BIOMASS_SC4_bal
62	iNF517.xml.gz	0.04263460544337193	+1.0 BIOMASS_LLA
63	iNJ661.xml.gz	0.052549801008501165	+1.0 BIOMASS_Mtb_9_60atp
64	iNRG857_1313.xml.gz	0.9824784386660081	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
65	iPC815.xml.gz	0.28355838121482724	+1.0 BIOMASS_37C
66	iRC1080.xml.gz	6.156851475936172	+1.0 BIOMASS_Chlamy_auto
67	iSB619.xml.gz	0.1580502916027894	+1.0 BIOMASS_SA_8a
68	iSBO_1134.xml.gz	0.399880124945336	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
69	iSDY_1059.xml.gz	0.93789031406188	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
70	iSFV_1184.xml.gz	0.8938577495747764	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
71	iSF_1195.xml.gz	0.9145918468942517	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
72	iSFxv_1172.xml.gz	0.8940890261581961	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
73	iSSON_1240.xml.gz	0.9826450753012037	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
74	iS_1188.xml.gz	0.8570768327332442	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
75	iSbBS512_1146.xml.gz	0.9828118163906584	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
76	iUMN146_1321.xml.gz	0.9824784386660088	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
77	iUMNK88_1353.xml.gz	0.9824784386660055	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
78	iUTI89_1310.xml.gz	0.9824784386660026	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
79	iWFL_1372.xml.gz	0.9824784386660061	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
80	iY75_1357.xml.gz	0.9824784386660078	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
81	iYL1228.xml.gz	1.0426374979773798	+1.0 BIOMASS_
82	iYO844.xml.gz	0.11796638932239906	+1.0 BIOMASS_BS_10
83	iZ_1308.xml.gz	0.9824784386660006	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
84	ic_1306.xml.gz	1.0319222801126815	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
