ACh	IntermediateACh	ActiveACh	BasalACh	DesensitisedACh	IntermediateACh2	Active	Intermediate	ActiveACh2	Desensitised	DesensitisedACh2	Basal	BasalACh2
8.06192650598726e-06	3.830374532927538e-09	3.423454110217068e-10	7.268747300574278e-09	2.3750944900538625e-09	5.789895619181169e-07	1.2059802849664601e-12	6.334934270949592e-12	2.3567148342501418e-08	3.928083267195033e-12	3.590220375186835e-07	2.4043503128515694e-08	5.497183597822032e-10
8.059525916528553e-06	3.6631470554846103e-09	3.273972257289451e-10	6.9513533366052995e-09	2.5601637450348553e-09	5.535470005114954e-07	1.153663443082573e-12	6.0601666178126185e-12	2.2531371579952515e-08	4.235423868410632e-12	3.8688208079851237e-07	2.3000478328918267e-08	5.255581643387068e-10
8.057232866086913e-06	3.5034913731862414e-09	3.1312575118506043e-10	6.648328772878281e-09	2.736864151085524e-09	5.292704099092689e-07	1.1036862602637311e-12	5.797688055482968e-12	2.1543056653537963e-08	4.5290379808176266e-12	4.1346669032308877e-07	2.2004097606989757e-08	5.025050464831538e-10
8.055042631227455e-06	3.3510677896264303e-09	2.995006381477743e-10	6.3590290939284424e-09	2.90557022238136e-09	5.061062469577051e-07	1.0559463231943936e-12	5.546960552946959e-12	2.0600024494514474e-08	4.80952486565252e-12	4.3883432088380854e-07	2.1052319309940692e-08	4.805081782055564e-10
8.052950688285451e-06	3.205551607038953e-09	2.864928767612159e-10	6.082838235005285e-09	3.0666400184805926e-09	4.840034417626211e-07	1.0103455186299769e-12	5.307468673608768e-12	1.9700196668413664e-08	5.077458767196852e-12	4.630407369787547e-07	2.0143187501120968e-08	4.595190788443227e-10
8.050952705080986e-06	3.06663244936762e-09	2.7407473563447407e-10	5.819167287695673e-09	3.2204158801154345e-09	4.629132757067214e-07	9.667898580540703e-13	5.078718663468781e-12	1.8841590376142304e-08	5.333389909387929e-12	4.861391447017256e-07	1.9274828465652932e-08	4.3949149851377266e-10
8.049044533633668e-06	2.9340136668561854e-09	2.622197083287228e-10	5.567453361219238e-09	3.3672250762633437e-09	4.4278927420768313e-07	9.251893235683128e-13	4.860237649235125e-12	1.8022314073669362e-08	5.577845372028218e-12	5.081803076796743e-07	1.8445447638153336e-08	4.203813158076718e-10
8.047222202559855e-06	2.807411720841415e-09	2.509024607039864e-10	5.327158463403955e-09	3.507380474333659e-09	4.2358710251783774e-07	8.854577051909293e-13	4.65157274006816e-12	1.724056338610988e-08	5.811330076527239e-12	5.292126598140347e-07	1.7653326359762184e-08	4.021464424508175e-10
8.045481910441218e-06	2.6865556446125753e-09	2.4009878114404075e-10	5.097768449470009e-09	3.6411811264043413e-09	4.052644668362944e-07	8.475124607283731e-13	4.452290320660526e-12	1.6494616939579724e-08	6.034327558441244e-12	5.492824122760513e-07	1.6896819089451465e-08	3.847467266523802e-10
8.043820019095706e-06	2.5711865105578875e-09	2.2978553224727442e-10	4.878791986703913e-09	3.76891284967708e-09	3.8778101968937347e-07	8.112745732304315e-13	4.2619753201318584e-12	1.5782832506832182e-08	6.247300769095622e-12	5.684336559538952e-07	1.6174350557595465e-08	3.681438624552376e-10
8.042233046821583e-06	2.4610568963633067e-09	2.1994060412021685e-10	4.669759564206205e-09	3.890848809255058e-09	3.710982696015643e-07	7.766684062364661e-13	4.080230432071702e-12	1.510364338383817e-08	6.450692933780139e-12	5.867084593614482e-07	1.548441288204465e-08	3.52301305388064e-10
8.040717662089336e-06	2.3559303827360304e-09	2.1054287036479874e-10	4.470222561347905e-09	4.007250066099674e-09	3.5517949544427005e-07	7.436215687510947e-13	3.906675387738565e-12	1.445555494219805e-08	6.6449283506045744e-12	6.041469614362463e-07	1.4825562879084642e-08	3.371841923457327e-10
8.039270677488887e-06	2.2555810821796937e-09	2.0157214530983275e-10	4.279752338691251e-09	4.1183660916535906e-09	3.399896644676115e-07	7.12064786210981e-13	3.740946292301276e-12	1.3837141251245489e-08	6.830413120828239e-12	6.207874604450157e-07	1.419641949132432e-08	3.227592627696866e-10
8.037889043964274e-06	2.159793192946054e-09	1.9300914358253677e-10	4.097939374070539e-09	4.2244352551262336e-09	3.25495354998534e-07	6.819317776666034e-13	3.58269499220239e-12	1.324704191401387e-08	7.007535845346544e-12	6.366664978380241e-07	1.3595661336657425e-08	3.0899478443055904e-10
8.036569844945215e-06	2.0683605422617405e-09	1.8483544022715996e-10	3.924392420812876e-09	4.32568532313851e-09	3.1166468067700586e-07	6.531591294518187e-13	3.4315883931839156e-12	1.2683959022132096e-08	7.176668376931297e-12	6.518189404821811e-07	1.3022024193486537e-08	2.958604828551021e-10
8.035310290973944e-06	1.9810861760338974e-09	1.7703343377617068e-10	3.758737720444412e-09	4.422333908791876e-09	2.984672209130648e-07	6.256861801904068e-13	3.2873078613841128e-12	1.2146654315497255e-08	7.338166481291506e-12	6.662780561901065e-07	1.247429870692372e-08	2.8332747483904075e-10
8.034107714440592e-06	1.8977819539090474e-09	1.6958631019901555e-10	3.60061823771443e-09	4.514588914766497e-09	2.858739528044618e-07	5.994549078481427e-13	3.149548628322127e-12	1.1633946417458399e-08	7.49237049361867e-12	6.800755876454589e-07	1.1951328137969945e-08	2.7136820403283983e-10
8.032959564509662e-06	1.8182681629443883e-09	1.6247800839489512e-10	3.4496929274129735e-09	4.602648956463621e-09	2.7385718654342765e-07	5.744098208081059e-13	3.018019218703216e-12	1.1144708206213494e-08	7.639605950754905e-12	6.93241822588306e-07	1.1452006192230866e-08	2.599563796166726e-10
8.03186340214169e-06	1.742373145760264e-09	1.5569318656783778e-10	3.3056360195646894e-09	4.686703770008208e-09	2.623905035641538e-07	5.504978508838942e-13	2.8924408964959016e-12	1.0677864272687368e-08	7.7801842045254e-12	7.058056611144049e-07	1.0975274886939828e-08	2.4906691696183874e-10
8.0308168956657e-06	1.6699329539503234e-09	1.4921719185476522e-10	3.168136375265432e-09	4.766934590954296e-09	2.514486983321676e-07	5.276682583382435e-13	2.772547154643422e-12	1.0232388585646123e-08	7.914402983779869e-12	7.177946788100727e-07	1.0520122658437915e-08	2.3867588325477595e-10
8.029817815598095e-06	1.6007909805655902e-09	1.4303602764219846e-10	3.036896791556275e-09	4.843514560148771e-09	2.410077215525184e-07	5.058725192661277e-13	2.6580831201019273e-12	9.807302193501156e-09	8.0425470583275e-12	7.292351888311878e-07	1.0085582116390674e-08	2.2876044379225865e-10
8.028864031399157e-06	1.534797700744546e-09	1.3713632863272035e-10	2.911633471557493e-09	4.9166090056452386e-09	2.310446311840511e-07	4.850642575777792e-13	2.5488052324046038e-12	9.401671117337032e-09	8.164888589413906e-12	7.401522949328828e-07	9.670728688206849e-09	2.1929881286346413e-10
8.027953505717777e-06	1.4718102293122548e-09	1.3150532945161014e-10	2.7920753646902627e-09	4.986375929994737e-09	2.2153753489257837e-07	4.651991166523002e-13	2.4444804055174465e-12	9.01460450276162e-09	8.281688062464631e-12	7.505699541079544e-07	9.274678064576793e-09	2.1027021109596467e-10
8.027084292906506e-06	1.4116922725820723e-09	1.2613083811761887e-10	2.6779635730257974e-09	5.052966061645972e-09	2.1246554530796536e-07	4.462347384659928e-13	2.344886368273232e-12	8.645251494644823e-09	8.393193904570367e-12	7.605110255810743e-07	8.896585765554026e-09	2.016547903794213e-10
8.02625453173819e-06	1.354313492998159e-09	1.210012129140358e-10	2.5690509321825766e-09	5.1165235561237636e-09	2.038087334046003e-07	4.2813058820219627e-13	2.2498100571420112e-12	8.292801206050584e-09	8.499644275862386e-12	7.699973212845094e-07	8.5356436870626e-09	1.9343363863800179e-10
8.025462444417454e-06	1.299549527727059e-09	1.1610533589398071e-10	2.4651013461346716e-09	5.177185972802237e-09	1.955480841273475e-07	4.1084794998151293e-13	2.1590481755832798e-12	7.956479519357074e-09	8.601266441737712e-12	7.790496543561733e-07	8.191079954879322e-09	1.8558869711828196e-10
8.024706332108934e-06	1.247281606789194e-09	1.1143259096462628e-10	2.3658894066191185e-09	5.23508469589197e-09	1.8766545484303274e-07	3.9434982127726384e-13	2.0724063802726528e-12	7.635547835764983e-09	8.698277678772346e-12	7.876878843785094e-07	7.862156870452773e-09	1.7810273809568308e-10
8.023984571479861e-06	1.197396317312403e-09	1.0697284083794508e-10	2.2711998658456254e-09	5.290345193818744e-09	1.8014353463766054e-07	3.7860084054134414e-13	1.9896989472029543e-12	7.32930144276689e-09	8.790885645839091e-12	7.959309617470516e-07	7.548169445588394e-09	1.7095932368503777e-10
8.023295611610534e-06	1.1497853755643551e-09	1.0271640658358661e-10	2.1808272091275536e-09	5.3430872700309924e-09	1.7296580753255937e-07	3.635672201670136e-13	1.9107484201074807e-12	7.037067984830744e-09	8.87928877465396e-12	8.037969677759491e-07	7.248444070197565e-09	1.6414277074253995e-10
8.022637970766268e-06	1.1043453911394032e-09	9.865404656933159e-11	2.094575207692926e-09	5.393425322513625e-09	1.6611651473134001e-07	3.4921667667259075e-13	1.835385243456148e-12	6.7582059266812346e-09	8.963676677651202e-12	8.113031558598619e-07	6.962337120576565e-09	1.576381150280957e-10
8.022010233173531e-06	1.0609776345458699e-09	9.477693571327081e-11	2.0122564780323035e-09	5.4414685999466644e-09	1.5958061793135348e-07	3.3551836082285353e-13	1.76344739508246e-12	6.492103061577486e-09	9.044230557009308e-12	8.184659915197802e-07	6.689233566331712e-09	1.514310764068988e-10
8.021411046359688e-06	1.0195878436363677e-09	9.107664813581517e-11	1.9336921134650913e-09	5.4873214148013445e-09	1.5334376833551034e-07	3.2244280009245247e-13	1.6947800849363011e-12	6.238175246249354e-09	9.121123539574507e-12	8.25301186199037e-07	6.428545823398825e-09	1.4550802934215666e-10
8.020839118505974e-06	9.80086031411334e-10	8.754514005281077e-11	1.8587113208444184e-09	5.53108335501455e-09	1.4739227618615756e-07	3.0996184132819336e-13	1.6292354526708016e-12	5.995865165361082e-09	9.194521013263458e-12	8.318237304977587e-07	6.179712611017125e-09	1.3985597407592757e-10
8.020293215666534e-06	9.423862857722235e-10	8.417473188023195e-11	1.7871510405202214e-09	5.572849504722201e-09	1.4171307916353304e-07	2.980485904675676e-13	1.5666722510420492e-12	5.764641045053776e-09	9.264580979605397e-12	8.380479286700788e-07	5.942197749997335e-09	1.3446250662193687e-10
8.019772159194126e-06	9.06406585209104e-10	8.095809172512739e-11	1.7188555957327765e-09	5.612710647551418e-09	1.3629371340274914e-07	2.8667735670636973e-13	1.5069555533828114e-12	5.543995470613927e-09	9.331454379705094e-12	8.439874302782809e-07	5.71548904966272e-09	1.2931579118599606e-10
8.019274823285276e-06	8.720686217322961e-10	7.788821959907295e-11	1.6536763573676486e-09	5.650753461777348e-09	1.311222855734368e-07	2.7582359927981704e-13	1.449956473389939e-12	5.333444252390546e-09	9.395285406218395e-12	8.496552606675853e-07	5.499097246919479e-09	1.2440453371351186e-10
8.018800132633505e-06	8.392976331154162e-10	7.49584324111407e-11	1.5914714252606747e-09	5.687060705396379e-09	1.2618744658493755e-07	2.6546387654021906e-13	1.395551897954198e-12	5.132525354402409e-09	9.456211801137866e-12	8.550638496889196e-07	5.292554991084006e-09	1.1971795689826793e-10
8.018347060327785e-06	8.080222519965182e-10	7.216235051421038e-11	1.5321053425053726e-09	5.7217113825287036e-09	1.2147836791103333e-07	2.5557580036284497e-13	1.3436242470933397e-12	4.940797932681711e-09	9.514365123235465e-12	8.602250575508698e-07	5.095415934948564e-09	1.1524577775214158e-10
8.017914625663494e-06	7.781743498885465e-10	6.94938837386636e-11	1.4754487988549086e-09	5.754780915570103e-09	1.1698471719808791e-07	2.4613798862867436e-13	1.2940612248710937e-12	4.757841340658804e-09	9.569871025800494e-12	8.651502014710779e-07	4.907253787480689e-09	1.1097818440416599e-10
8.017501892092994e-06	7.496888908425398e-10	6.694721832707119e-11	1.4213783532763073e-09	5.786341306664346e-09	1.1269663540846194e-07	2.3713002073093407e-13	1.2467555854661441e-12	4.583254199561621e-09	9.622849517433673e-12	8.698500806465086e-07	4.727661426817444e-09	1.0690581441742894e-10
8.017107965252244e-06	7.225037910645418e-10	6.451680438706437e-11	1.3697761675063192e-09	5.816461292670447e-09	1.0860471495597289e-07	2.285323947139068e-13	1.2016049080753754e-12	4.4166535083052e-09	9.673415213112628e-12	8.743350001477617e-07	4.5562500457902966e-09	1.0301973402662517e-10
8.016731991094385e-06	6.965597863932939e-10	6.219734405876187e-11	1.3205297547906388e-09	5.845206491489605e-09	1.0469997913352234e-07	2.2032648671579496e-13	1.15851138368549e-12	4.257673806788022e-09	9.721677572088135e-12	8.786147934055109e-07	4.392648343383187e-09	9.931141862175708e-11
8.016373154098117e-06	6.718003049890153e-10	5.998378012395968e-11	1.2735317379877216e-09	5.87263954261728e-09	1.009738622839742e-07	2.124945120550921e-13	1.1173816109346198e-12	4.1059663678546585e-09	9.767741125601076e-12	8.826988438823561e-07	4.236501748949851e-09	9.577273389955274e-11
8.016030675550507e-06	6.481713456656639e-10	5.787128514494498e-11	1.2286796189421937e-09	5.898820241519757e-09	9.741819096253568e-08	2.05019487901859e-13	1.0781263998130211e-12	3.9611984312955515e-09	9.811705695955029e-12	8.865961056672846e-07	4.08747167803234e-09	9.239591799667685e-11
8.01570381188726e-06	6.256213603432031e-10	5.585525095559188e-11	1.1858755553258699e-09	5.923805669461787e-09	9.402516571309745e-08	1.9788519720432568e-13	1.0406605822583948e-12	3.823052461792578e-09	9.85366660789814e-12	8.903151233992579e-07	3.945234813198545e-09	8.91735641805701e-11
8.015391853176663e-06	6.041011470095987e-10	5.3931279094194814e-11	1.1450261574818535e-09	5.947650311771495e-09	9.078734453620398e-08	1.9107615572037652e-13	1.0049028390070899e-12	3.6912254758963313e-09	9.893714881945455e-12	8.938640503467405e-07	3.809482446775597e-09	8.609860515061415e-11
8.015094121582571e-06	5.835637410915446e-10	5.2095171098234616e-11	1.1060422823422304e-09	5.9704061778500226e-09	8.769762610076913e-08	1.8457757859620974e-13	9.70775523995893e-13	3.565428358852849e-09	9.931937430411005e-12	8.972506667658003e-07	3.6799198145605057e-09	8.31642971030342e-11
8.014809969940158e-06	5.639643150431991e-10	5.034291952975182e-11	1.068838842855187e-09	5.992122912134106e-09	8.474923426086077e-08	1.783753493869768e-13	9.382045016501504e-13	3.4453852342891874e-09	9.968417239113343e-12	9.00482396834963e-07	3.5562654782073874e-09	8.036420502818288e-11
8.014538780344976e-06	5.452600788753986e-10	4.8670699085563363e-11	1.0333346192175141e-09	6.012847904019914e-09	8.193570272004741e-08	1.724559893657818e-13	9.071189856794207e-13	3.3308328399759175e-09	1.0003233547398118e-11	9.035663254287413e-07	3.438250713365583e-09	7.769218814989027e-11
8.014279962893866e-06	5.274101916594596e-10	4.7074858687403495e-11	9.99452090916531e-10	6.0326263856943706e-09	7.925086143213887e-08	1.668066301234643e-13	8.774513951693233e-13	3.221519974215573e-09	1.0036462008910593e-11	9.065092129962229e-07	3.325618963419522e-09	7.51423870120928e-11
8.014032954406646e-06	5.103756715799549e-10	4.5551913443754714e-11	9.67117266047237e-10	6.051501531558026e-09	7.668882276481769e-08	1.6141498575349782e-13	8.491372084673746e-13	3.117206932659591e-09	1.0068174854809542e-11	9.093175106975445e-07	3.218125284958853e-09	7.270921034224539e-11
8.013797217233096e-06	4.941193121520139e-10	4.409853716145006e-11	9.362595223044881e-10	6.069514550855091e-09	7.424396863707126e-08	1.5626932688600993e-13	8.221148268041002e-13	3.0176649847023853e-09	1.0098441046145506e-11	9.119973744776053e-07	3.1155358301110006e-09	7.038732283786791e-11
8.013572238079444e-06	4.786055998239929e-10	4.271155498127789e-11	9.068114506085981e-10	6.086704778774129e-09	7.191093787270986e-08	1.5135845514491037e-13	7.963254401317349e-13	2.9226758586791963e-09	1.0127326423765391e-11	9.145546789036373e-07	3.0176273373088392e-09	6.817163315845432e-11
8.013357526949026e-06	4.638006397640131e-10	4.138793674472891e-11	8.787087142575448e-10	6.103109758522714e-09	6.968461483830605e-08	1.466716800820093e-13	7.717129059771084e-13	2.8320312793362406e-09	1.0154893843716592e-11	9.169950296000644e-07	2.9241866714384876e-09	6.605728313665888e-11
8.013152616078521e-06	4.4967208129957505e-10	4.0124790329943217e-11	8.518899074248616e-10	6.118765323780864e-09	6.756011802192593e-08	1.4219879601674256e-13	7.48223627794561e-13	2.745532502901039e-09	1.0181203313200971e-11	9.193237757475623e-07	2.8350103621057327e-09	6.403963693350916e-11
8.012957058940623e-06	4.3618904810191324e-10	3.8919355411546546e-11	8.262964226591417e-10	6.133705675919269e-09	6.553278935374197e-08	1.3793006031768485e-13	7.25806440894904e-13	2.662989882345633e-09	1.0206312118083428e-11	9.215460217716586e-07	2.7499041706454664e-09	6.21142708978857e-11
8.012770429276672e-06	4.2332207051304834e-10	3.7768997412079395e-11	8.018723224523069e-10	6.1479634588536696e-09	6.359818386229612e-08	1.3385617233454811e-13	7.044125017884221e-13	2.58422244631874e-09	1.0230274946595296e-11	9.236666386646902e-07	2.6686826700990396e-09	6.027696374484487e-11
8.012592320182438e-06	4.1104302163375044e-10	3.667120178907389e-11	7.785642179349288e-10	6.161569829744906e-09	6.175205991219272e-08	1.299682534855246e-13	6.839951836053181e-13	2.509057501715453e-09	1.0253144006254168e-11	9.25690274672037e-07	2.5911688482244666e-09	5.852368728527948e-11
8.012422343261374e-06	3.993250580951247e-10	3.5623568738044464e-11	7.563211564003922e-10	6.1745545245124165e-09	5.999037014574989e-08	1.2625782881769333e-13	6.645099793051791e-13	2.437330264723868e-09	1.0274969132065646e-11	9.276213652071473e-07	2.517193739873898e-09	5.6850597819690025e-11
8.01226012774629e-06	3.8814255886947995e-10	3.462380773175687e-11	7.350945053642285e-10	6.186945925554004e-09	5.8309252191540094e-08	1.2271680786047792e-13	6.459144009504457e-13	2.3688834831479247e-09	1.0295797899193485e-11	9.294641430260784e-07	2.4465960452781302e-09	5.525402732905037e-11
8.01210531971768e-06	3.77471070744718e-10	3.366973264354876e-11	7.148378490148702e-10	6.198771122077867e-09	5.670502035120387e-08	1.193374675953409e-13	6.28167890316176e-13	2.303567097793158e-09	1.0315675722925842e-11	9.312226473293473e-07	2.379221790518481e-09	5.3730475576250993e-11
8.011957581375357e-06	3.6728725758216816e-10	3.275925719570374e-11	6.955068915563825e-10	6.210055966251821e-09	5.5174157846762726e-08	1.1611243659263824e-13	6.112317358795332e-13	2.2412379258120943e-09	1.0334645951513815e-11	9.329007322507349e-07	2.3149240112621213e-09	5.227660271905969e-11
8.011816590282045e-06	3.5756884731127944e-10	3.189039024208228e-11	6.770593570594125e-10	6.220825131829084e-09	5.371330874482614e-08	1.1303467852945763e-13	5.950689858650451e-13	2.1817593332752967e-09	1.0352749963369665e-11	9.345020756959814e-07	2.253562424174761e-09	5.088922167383814e-11
8.011682038652845e-06	3.482945825545689e-10	3.106123134699645e-11	6.594548955818846e-10	6.231102168804498e-09	5.2319270450624645e-08	1.1009747670368148e-13	5.796443670552458e-13	2.125000929111907e-09	1.0370027257904444e-11	9.360301875637215e-07	2.195003118177341e-09	4.9565290976002126e-11
8.011553632724719e-06	3.394441769656511e-10	3.026996689054407e-11	6.426550004805736e-10	6.240909551772844e-09	5.098898712766863e-08	1.072944202750427e-13	5.64924212368586e-13	2.0708382977762822e-09	1.038651553660371e-11	9.37488416955596e-07	2.1391182801365904e-09	4.830190854450278e-11
8.011431092112689e-06	3.309982702392662e-10	2.951486602532856e-11	6.266229225464194e-10	6.2502687296916946e-09	4.971954278485333e-08	1.0461939025426427e-13	5.508763876912275e-13	2.019152716380235e-09	1.040225078481994e-11	9.388799597430877e-07	2.0857859155312247e-09	4.709630508300746e-11
8.011314149163644e-06	3.2293838320883997e-10	2.879427667847349e-11	6.11323585126723e-10	6.259200175595129e-09	4.8508154496717514e-08	1.0206654540574375e-13	5.374702175349332e-13	1.9698308797305184e-09	1.0417267354963918e-11	9.402078659937579e-07	2.0348895674012026e-09	4.5945837666826695e-11
8.011202548440073e-06	3.152468818766297e-10	2.8106622341708685e-11	5.967235159746537e-10	6.267723426402482e-09	4.735216694146404e-08	9.963031099292233e-14	5.246764258248382e-13	1.922764678314845e-09	1.043159803273789e-11	9.41475045952322e-07	1.98631809197043e-09	4.4847984564671935e-11
8.011096046140437e-06	3.0790693726689474e-10	2.7450398468955414e-11	5.827907707483287e-10	6.2758571273742025e-09	4.624904630515645e-08	9.730536614358965e-14	5.124670698026494e-13	1.877850949259371e-09	1.044527411111456e-11	9.426842767190079e-07	1.9399654067431652e-09	4.3800339428619844e-11
8.010994409545975e-06	3.00902486896559e-10	2.6824169039835206e-11	5.694948600527247e-10	6.283619074755687e-09	4.519637443716687e-08	9.508663178858602e-14	5.008154765354987e-13	1.8349912388801964e-09	1.0458325461360821e-11	9.438382086498373e-07	1.8957302500459914e-09	4.280060575608681e-11
8.01089741655807e-06	2.942182027358763e-10	2.6226563690961675e-11	5.568066885278203e-10	6.291026251258479e-09	4.41918439990813e-08	9.296926057301174e-14	4.896961900186669e-13	1.7940916048857672e-09	1.0470780592248318e-11	9.449393706716148e-07	1.8535159798872238e-09	4.18465922758986e-11
8.010804855203802e-06	2.8783945681871427e-10	2.5656274646787474e-11	5.446984896829044e-10	6.298094864128112e-09	4.3233253252277135e-08	9.0948626074752e-14	4.79084914456056e-13	1.755062404505366e-09	1.0482666713512765e-11	9.459901759906722e-07	1.8132303590093353e-09	4.093620800624197e-11
8.01071652315294e-06	2.817522877530097e-10	2.5112053722578917e-11	5.331437622620917e-10	6.304840382226385e-09	4.231850098333705e-08	8.902031227279265e-14	4.689584590128126e-13	1.7178180876759496e-09	1.0494009797686103e-11	9.469929276521039e-07	1.7747853449201393e-09	4.006745743061495e-11
8.010632227310194e-06	2.7594337244448073e-10	2.459270979788364e-11	5.221172166002204e-10	6.311277567342291e-09	4.144558222697141e-08	8.718010465339657e-14	4.5929469108342e-13	1.682277022994913e-09	1.0504834632400341e-11	9.479498232254057e-07	1.738096912577817e-09	3.92384364380581e-11
8.010551783397525e-06	2.7039999715123124e-10	2.4097106227834766e-11	5.11594719658369e-10	6.317420506245412e-09	4.061258388609482e-08	8.542398110077242e-14	4.5007248847222514e-13	1.6483613193269103e-09	1.0515164873911483e-11	9.488629596030117e-07	1.703084872779004e-09	3.8447328161988255e-11
8.010475015505142e-06	2.651100262956349e-10	2.3624158056123395e-11	5.01553235848269e-10	6.323282645213901e-09	3.981768000450006e-08	8.374810210669672e-14	4.412716879578557e-13	1.6159966334127184e-09	1.0525023104654648e-11	9.497343381783169e-07	1.669672676969982e-09	3.7692398492551794e-11
8.010401755764513e-06	2.60061879818583e-10	2.3172829989985345e-11	4.919707840362883e-10	6.32887681511388e-09	3.905912834325399e-08	8.214880363829361e-14	4.3287304784717546e-13	1.5851120304473081e-09	1.0534430875160833e-11	9.505658685967376e-07	1.637787275051994e-09	3.69719928244841e-11
8.010331843970157e-06	2.5524450710667346e-10	2.2742134071279292e-11	4.828263880989087e-10	6.334215260291742e-09	3.8335266465435404e-08	8.062258888042797e-14	4.248582045705774e-13	1.555639824803203e-09	1.0543408752675669e-11	9.513593730475556e-07	1.6073589507498094e-09	3.6284532342046985e-11
8.010265127185994e-06	2.5064735959797485e-10	2.233112722533141e-11	4.74100024875151e-10	6.339309668893713e-09	3.764450756838793e-08	7.916611965719347e-14	4.1720962767386424e-13	1.5275154102048723e-09	1.0551976371507328e-11	9.521165908280564e-07	1.5783211505828897e-09	3.56285100575439e-11
8.010201459508873e-06	2.462603742804848e-10	2.1938909777122102e-11	4.657725926521069e-10	6.344171191120667e-09	3.6985337950461925e-08	7.777621128528033e-14	4.0991059295661006e-13	1.5006771560319505e-09	1.0560152463058924e-11	9.528391811167627e-07	1.5506103812546623e-09	3.500248839193728e-11
8.01014070164707e-06	2.4207394481018254e-10	2.15646228915454e-11	4.578258568405216e-10	6.348810471264902e-09	3.6356312745637596e-08	7.644982335013087e-14	4.0294513360146514e-13	1.4750662351090076e-09	1.056795491062607e-11	9.535287276526558e-07	1.5241660257643857e-09	3.4405095159396405e-11
8.01008272067331e-06	2.380789045166884e-10	2.120744706578817e-11	4.5024241797643117e-10	6.353237666550332e-09	3.575605339805995e-08	7.518405430601799e-14	3.962980115914567e-13	1.4506265216436918e-09	1.0575400781427264e-11	9.541867415044e-07	1.4989302357532733e-09	3.383502118736264e-11
8.010027389768838e-06	2.342665078595738e-10	2.0866600360513458e-11	4.430056740527774e-10	6.35746246751559e-09	3.5183244489882216e-08	7.397613600274312e-14	3.8995469110270443e-13	1.427304454858971e-09	1.0582506356112373e-11	9.54814664528817e-07	1.474847822342179e-09	3.3291017128550525e-11
8.009974587860176e-06	2.3062840600554581e-10	2.0541336329174706e-11	4.360997766674674e-10	6.3614941252043514e-09	3.463663040828995e-08	7.282342565593391e-14	3.839012941690478e-13	1.4050489106162164e-09	1.0589287178647537e-11	9.554138730384284e-07	1.4518660960876045e-09	3.277189047373308e-11
