x1	x2	y2
-4.480255876375175e-15	-2.765068967859418e-13	-1.3825344839300452e-13
-4.229609135801751e-15	-2.6106583565969397e-13	-1.30532917829879e-13
-3.978962395228328e-15	-2.4562477453344625e-13	-1.2281238726675352e-13
-3.728315654654905e-15	-2.301837134071985e-13	-1.1509185670362802e-13
-3.4776689140814813e-15	-2.1474265228095068e-13	-1.0737132614050252e-13
-3.2270221735080583e-15	-1.993015911547029e-13	-9.965079557737703e-14
-2.976375432934634e-15	-1.838605300284551e-13	-9.193026501425151e-14
-2.725728692361211e-15	-1.6841946890220734e-13	-8.420973445112602e-14
-2.4750819517877876e-15	-1.5297840777595957e-13	-7.648920388800053e-14
-2.2244352112143646e-15	-1.3753734664971177e-13	-6.876867332487503e-14
-1.9737884706409408e-15	-1.22096285523464e-13	-6.104814276174954e-14
-1.7231417300675173e-15	-1.0665522439721622e-13	-5.332761219862404e-14
-1.472494989494094e-15	-9.121416327096842e-14	-4.5607081635498535e-14
-1.2218482489206705e-15	-7.577310214472066e-14	-3.788655107237304e-14
-9.712015083472473e-16	-6.033204101847287e-14	-3.016602050924755e-14
-7.205547677738237e-16	-4.4890979892225096e-14	-2.2445489946122046e-14
-4.699080272004003e-16	-2.944991876597732e-14	-1.472495938299655e-14
-2.4964294055664324e-16	-1.587857224183063e-14	-7.939286120921777e-15
-2.41626513498313e-16	-1.5369201178992057e-14	-7.684600589502289e-15
-2.336100864399828e-16	-1.485983011615349e-14	-7.429915058082802e-15
-2.255936593816526e-16	-1.435045905331492e-14	-7.175229526663315e-15
-2.1757723232332233e-16	-1.3841087990476346e-14	-6.920543995243828e-15
-2.095608052649921e-16	-1.3331716927637775e-14	-6.66585846382434e-15
-2.015443782066619e-16	-1.2822345864799205e-14	-6.411172932404853e-15
-1.935279511483317e-16	-1.2312974801960636e-14	-6.1564874009853666e-15
-1.8551152409000144e-16	-1.1803603739122061e-14	-5.901801869565878e-15
-1.7749509703167122e-16	-1.1294232676283493e-14	-5.6471163381463915e-15
-1.6947866997334103e-16	-1.0784861613444922e-14	-5.392430806726905e-15
-1.6146224291501075e-16	-1.027549055060635e-14	-5.137745275307416e-15
-1.5344581585668056e-16	-9.76611948776778e-15	-4.88305974388793e-15
-1.454293887983503e-16	-9.256748424929208e-15	-4.628374212468442e-15
-1.3741296174002011e-16	-8.747377362090637e-15	-4.373688681048955e-15
-1.2939653468168987e-16	-8.238006299252067e-15	-4.119003149629468e-15
-1.2138010762335965e-16	-7.728635236413496e-15	-3.864317618209981e-15
-1.1336368056502945e-16	-7.219264173574923e-15	-3.609632086790493e-15
-1.053472535066992e-16	-6.709893110736353e-15	-3.3549465553710065e-15
-9.733082644836898e-17	-6.200522047897783e-15	-3.1002610239515193e-15
-8.931439939003876e-17	-5.691150985059211e-15	-2.8455754925320317e-15
-8.129797233170854e-17	-5.181779922220641e-15	-2.5908899611125445e-15
-7.32815452733783e-17	-4.67240885938207e-15	-2.3362044296930577e-15
-6.526511821504808e-17	-4.163037796543498e-15	-2.0815188982735698e-15
-5.724869115671786e-17	-3.653666733704928e-15	-1.8268333668540826e-15
-4.9232264098387637e-17	-3.1442956708663565e-15	-1.5721478354345958e-15
-4.1215837040057415e-17	-2.6349246080277856e-15	-1.3174623040151084e-15
-3.319940998172718e-17	-2.1255535451892147e-15	-1.0627767725956213e-15
-2.5182982923396962e-17	-1.6161824823506437e-15	-8.08091241176134e-16
-1.716655586506674e-17	-1.1068114195120728e-15	-5.534057097566468e-16
